policyID,statecode,county,eq_site_limit,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2011,tiv_2012,eq_site_deductible,hu_site_deductible,fl_site_deductible,fr_site_deductible
119736,FL,CLAY COUNTY,498960,498960,498960,498960,498960,792148.9,0,9979.2,0,0
448094,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1322376.3,1322376.3,1438163.57,0,0,0,0
206893,FL,CLAY COUNTY,190724.4,190724.4,190724.4,190724.4,190724.4,192476.78,0,0,0,0
333743,FL,CLAY COUNTY,0,79520.76,0,0,79520.76,86854.48,0,0,0,0
172534,FL,CLAY COUNTY,0,254281.5,0,254281.5,254281.5,246144.49,0,0,0,0
785275,FL,CLAY COUNTY,0,515035.62,0,0,515035.62,884419.17,0,0,0,0
995932,FL,CLAY COUNTY,0,19260000,0,0,19260000,20610000,0,0,0,0
223488,FL,CLAY COUNTY,328500,328500,328500,328500,328500,348374.25,0,16425,0,0
433512,FL,CLAY COUNTY,315000,315000,315000,315000,315000,265821.57,0,15750,0,0
142071,FL,CLAY COUNTY,705600,705600,705600,705600,705600,1010842.56,14112,35280,0,0
253816,FL,CLAY COUNTY,831498.3,831498.3,831498.3,831498.3,831498.3,1117791.48,0,0,0,0
894922,FL,CLAY COUNTY,0,24059.09,0,0,24059.09,33952.19,0,0,0,0
422834,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66755.39,0,0,0,0
582721,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42826.99,0,0,0,0
842700,FL,CLAY COUNTY,0,56135.64,0,0,56135.64,50656.8,0,0,0,0
874333,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,67905.07,0,0,0,0
580146,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,66938.9,0,0,0,0
456149,FL,CLAY COUNTY,0,80192.49,0,0,80192.49,86421.04,0,0,0,0
767862,FL,CLAY COUNTY,0,48115.94,0,0,48115.94,73798.5,0,0,0,0
353022,FL,CLAY COUNTY,0,60946.79,0,0,60946.79,62467.29,0,0,0,0
367814,FL,CLAY COUNTY,0,28869.12,0,0,28869.12,42727.74,0,0,0,0
671392,FL,CLAY COUNTY,0,13410000,0,0,13410000,11700000,0,0,0,0
772887,FL,CLAY COUNTY,0,1669113.93,0,0,1669113.93,2099127.76,0,0,0,0
983122,FL,CLAY COUNTY,0,179562.23,0,0,179562.23,211372.57,0,0,0,0
934215,FL,CLAY COUNTY,0,177744.16,0,0,177744.16,157171.16,0,0,0,0
385951,FL,CLAY COUNTY,0,17757.58,0,0,17757.58,16948.72,0,0,0,0
716332,FL,CLAY COUNTY,0,130129.87,0,0,130129.87,101758.43,0,0,0,0
751262,FL,CLAY COUNTY,0,42854.77,0,0,42854.77,63592.88,0,0,0,0
633663,FL,CLAY COUNTY,0,785.58,0,0,785.58,662.18,0,0,0,0
105851,FL,CLAY COUNTY,0,170361.91,0,0,170361.91,177176.38,0,0,0,0
710400,FL,CLAY COUNTY,0,1430.89,0,0,1430.89,1861.41,0,0,0,0
703001,FL,CLAY COUNTY,0,129913.27,0,0,129913.27,101692.86,0,0,0,0
352792,FL,CLAY COUNTY,0,366285.62,0,0,366285.62,507164.19,0,0,0,0
717603,FL,CLAY COUNTY,0,22512.61,0,0,22512.61,28637.17,0,0,0,0
937659,FL,SUWANNEE COUNTY,0,9246.6,0,9246.6,9246.6,10880.22,0,0,0,0
294022,FL,SUWANNEE COUNTY,0,96164.64,0,0,96164.64,69357.78,0,0,0,0
410500,FL,SUWANNEE COUNTY,0,11095.92,0,0,11095.92,12737.89,0,0,0,0
524433,FL,SUWANNEE COUNTY,218475,218475,218475,218475,218475,199030.29,0,4369.5,0,0
779298,FL,SUWANNEE COUNTY,1400904,1400904,1400904,1400904,1400904,1772984.1,0,0,0,0
491831,FL,SUWANNEE COUNTY,4365,4365,4365,4365,4365,4438.05,0,87.3,0,0
814637,FL,SUWANNEE COUNTY,4365,4365,4365,4365,4365,6095.72,0,87.3,0,0
737515,FL,SUWANNEE COUNTY,39789,39789,39789,39789,39789,58106.58,0,0,0,0
222653,FL,SUWANNEE COUNTY,24867,24867,24867,24867,24867,18969.79,0,0,0,0
788543,FL,SUWANNEE COUNTY,213876,213876,213876,213876,213876,261435.18,0,0,0,0
691681,FL,SUWANNEE COUNTY,69435,69435,69435,69435,69435,93674.34,0,1388.7,0,0
368807,FL,SUWANNEE COUNTY,14922,14922,14922,14922,14922,12333.03,0,0,0,0
174002,FL,SUWANNEE COUNTY,165546,165546,165546,165546,165546,239134.51,0,0,0,0
198760,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,86637.86,0,0,0,0
831395,FL,SUWANNEE COUNTY,72837,72837,72837,72837,72837,98147.86,0,0,0,0
305698,FL,SUWANNEE COUNTY,19440,19440,19440,19440,19440,30658.59,0,388.8,0,0
515722,FL,SUWANNEE COUNTY,9945,9945,9945,9945,9945,11551.12,0,198.9,0,0
415582,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,345894.66,0,0,0,0
783533,FL,SUWANNEE COUNTY,0,153527.17,0,0,153527.17,138228.8,0,0,0,0
640802,FL,SUWANNEE COUNTY,0,255878.61,0,0,255878.61,177339.74,0,0,0,0
403866,FL,SUWANNEE COUNTY,0,102351.45,0,0,102351.45,95132.8,0,0,0,0
828788,FL,SUWANNEE COUNTY,0,155489.66,0,0,155489.66,145139.65,0,0,0,0
751490,FL,SUWANNEE COUNTY,0,137233.8,0,0,137233.8,114919.58,0,0,0,0
972562,FL,SUWANNEE COUNTY,0,123596.05,0,0,123596.05,183015.09,0,0,0,0
367541,FL,SUWANNEE COUNTY,0,107111.11,0,0,107111.11,88218.85,0,0,0,0
481360,FL,SUWANNEE COUNTY,0,96309.32,0,0,96309.32,85911,0,0,0,0
920232,FL,NASSAU COUNTY,0,104031.7,0,0,104031.7,168443.97,0,0,0,0
727659,FL,NASSAU COUNTY,338944.5,338944.5,338944.5,338944.5,338944.5,485816.61,0,0,0,0
471817,FL,NASSAU COUNTY,272349,272349,272349,272349,272349,414565.56,0,0,0,0
983043,FL,NASSAU COUNTY,129690,129690,129690,129690,129690,129635.53,0,0,0,0
578286,FL,NASSAU COUNTY,123210,123210,123210,123210,123210,120345.61,0,0,0,0
347276,FL,NASSAU COUNTY,0,3698.64,0,0,3698.64,3939.13,0,0,0,0
477786,FL,NASSAU COUNTY,2115760.5,2115760.5,0,0,2115760.5,3057739.39,0,0,0,0
265907,FL,NASSAU COUNTY,0,93548.58,0,0,93548.58,118401.07,0,0,0,0
107560,FL,NASSAU COUNTY,0,1037311.14,0,0,1037311.14,1487255.23,0,0,0,0
908183,FL,NASSAU COUNTY,0,15463.3,0,0,15463.3,11825.56,0,0,0,0
356024,FL,NASSAU COUNTY,0,13893.35,0,0,13893.35,13988.5,0,0,0,0
575299,FL,NASSAU COUNTY,0,316618.23,0,0,316618.23,230328.99,0,0,0,0
790478,FL,NASSAU COUNTY,0,54834.66,0,0,54834.66,63053.72,0,0,0,0
801776,FL,NASSAU COUNTY,0,295269.11,0,0,295269.11,488965.65,0,0,0,0
291781,FL,NASSAU COUNTY,0,723734.17,0,0,723734.17,955908.09,0,0,0,0
537286,FL,NASSAU COUNTY,0,1741572,0,1741572,1741572,1455184.42,0,0,0,0
289305,FL,COLUMBIA COUNTY,135450,135450,135450,135450,135450,164978.1,0,0,0,0
697409,FL,COLUMBIA COUNTY,60300,60300,60300,60300,60300,77678.46,0,0,0,0
633944,FL,COLUMBIA COUNTY,22500,22500,22500,22500,22500,19501.76,0,0,0,0
963511,FL,COLUMBIA COUNTY,0,34212.42,0,0,34212.42,33250.37,0,0,0,0
729649,FL,COLUMBIA COUNTY,0,460128.2,0,0,460128.2,626142.46,0,0,0,0
862584,FL,COLUMBIA COUNTY,0,32169.69,0,0,32169.69,37291.11,0,0,0,0
371891,FL,COLUMBIA COUNTY,0,50550.75,0,0,50550.75,49526.38,0,0,0,0
785595,FL,COLUMBIA COUNTY,42300,42300,42300,42300,42300,53762.62,0,0,0,0
567696,FL,COLUMBIA COUNTY,0,10171.26,0,0,10171.26,16798.29,0,0,0,0
219025,FL,COLUMBIA COUNTY,0,155342.88,0,0,155342.88,176189.89,0,0,0,0
447216,FL,COLUMBIA COUNTY,0,3698.64,0,0,3698.64,4424.48,0,0,0,0
305141,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4525.86,0,0,0,0
625575,FL,COLUMBIA COUNTY,0,33287.76,0,0,33287.76,27375.62,0,0,0,0
262109,FL,COLUMBIA COUNTY,0,21267.18,0,0,21267.18,24840.49,0,0,0,0
228457,FL,COLUMBIA COUNTY,0,729556.74,0,0,729556.74,889825.76,0,0,0,0
622799,FL,COLUMBIA COUNTY,0,350446.14,0,0,350446.14,438049.26,0,0,0,0
233271,FL,COLUMBIA COUNTY,0,2135964.6,0,2135964.6,2135964.6,1728721.59,0,0,0,0
932950,FL,COLUMBIA COUNTY,0,4623.3,0,4623.3,4623.3,4782.1,0,0,0,0
641952,FL,COLUMBIA COUNTY,0,2469639.6,0,2469639.6,2469639.6,2708463.63,0,0,0,0
796260,FL,COLUMBIA COUNTY,0,914073.3,0,914073.3,914073.3,1296439.3,0,0,0,0
301822,FL,COLUMBIA COUNTY,0,3042940.5,0,3042940.5,3042940.5,3181868.99,0,0,0,0
559927,FL,COLUMBIA COUNTY,0,234997.65,0,0,234997.65,255975.89,0,0,0,0
224400,FL,COLUMBIA COUNTY,0,912600,0,912600,912600,1147247.71,0,0,0,0
123936,FL,COLUMBIA COUNTY,0,1920744.9,0,1920744.9,1920744.9,2837762.3,0,0,0,0
333818,FL,COLUMBIA COUNTY,0,455754.6,0,455754.6,455754.6,696809.59,0,0,0,0
254323,FL,COLUMBIA COUNTY,0,1552693.95,0,0,1552693.95,1552594.58,0,0,0,0
247444,FL,COLUMBIA COUNTY,0,8910,0,8910,8910,13521.83,0,0,0,0
882598,FL,COLUMBIA COUNTY,0,398968.2,0,398968.2,398968.2,424087.24,0,0,0,0
386918,FL,COLUMBIA COUNTY,0,4500,0,4500,4500,4238.41,0,0,0,0
497337,FL,COLUMBIA COUNTY,0,31071.6,0,31071.6,31071.6,57802.5,0,0,0,0
526844,FL,COLUMBIA COUNTY,0,4956125.85,0,0,4956125.85,7279557.65,0,0,0,0
623400,FL,COLUMBIA COUNTY,0,40500,0,40500,40500,34160.94,0,0,0,0
826170,FL,COLUMBIA COUNTY,0,135868.99,0,0,135868.99,234280.26,0,0,0,0
185483,FL,COLUMBIA COUNTY,0,36784.23,0,0,36784.23,58447.64,0,0,0,0
920003,FL,COLUMBIA COUNTY,0,1086940.9,0,0,1086940.9,1770235.43,0,0,0,0
274246,FL,COLUMBIA COUNTY,0,16767.17,0,0,16767.17,17228.6,0,0,0,0
423636,FL,COLUMBIA COUNTY,0,1404900,0,1404900,1404900,1840643.78,0,42147,0,0
970906,FL,COLUMBIA COUNTY,0,4696520.5,0,0,4696520.5,6342697.9,0,0,450000,0
227898,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,86628.09,0,0,0,0
525138,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,125938.17,0,0,0,0
923627,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,64169.8,0,0,0,0
619743,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,80898.23,0,0,0,0
910727,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,91244.65,0,0,0,0
363647,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,92333.77,0,0,0,0
512519,FL,COLUMBIA COUNTY,0,101009.36,0,0,101009.36,98181.1,0,0,0,0
904304,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,66272.56,0,0,0,0
835349,FL,COLUMBIA COUNTY,0,67892.48,0,0,67892.48,99945.87,0,0,0,0
891725,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,139415.11,0,0,0,0
923503,FL,COLUMBIA COUNTY,0,86056.32,0,0,86056.32,106664.4,0,0,0,0
292347,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,115117.07,0,0,0,0
363828,FL,COLUMBIA COUNTY,0,132603.34,0,0,132603.34,216561.94,0,0,0,0
110490,FL,COLUMBIA COUNTY,0,91764.15,0,0,91764.15,70364.02,0,0,0,0
480733,FL,COLUMBIA COUNTY,0,457854.5,0,0,457854.5,345588.57,0,0,0,0
993346,FL,COLUMBIA COUNTY,0,385480.82,0,0,385480.82,558330.42,0,0,0,0
934992,FL,ST  JOHNS COUNTY,0,213596.46,0,0,213596.46,190329.82,0,0,0,0
645841,FL,ST  JOHNS COUNTY,0,1051338.42,0,0,1051338.42,1069841.98,0,0,0,0
747846,FL,ST  JOHNS COUNTY,0,6472.62,0,0,6472.62,9957.87,0,0,0,0
482457,FL,ST  JOHNS COUNTY,0,159041.52,0,0,159041.52,249984.64,0,0,0,0
574787,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,19024.97,0,0,0,0
831418,FL,ST  JOHNS COUNTY,0,29589.12,0,0,29589.12,35207.53,0,0,0,0
968562,FL,ST  JOHNS COUNTY,0,12945.24,0,0,12945.24,16859.05,0,0,0,0
576324,FL,ST  JOHNS COUNTY,29061,29061,29061,29061,29061,40749.33,0,0,0,0
290435,FL,ST  JOHNS COUNTY,48087,48087,48087,48087,48087,68008.1,0,0,0,0
526086,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,133425.18,0,0,0,0
119823,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,168246.71,0,0,0,0
497414,FL,ST  JOHNS COUNTY,128628,128628,128628,128628,128628,176279.14,0,0,0,0
340883,FL,ST  JOHNS COUNTY,4968,4968,4968,4968,4968,5265.92,0,0,0,0
892551,FL,ST  JOHNS COUNTY,157005,157005,157005,157005,157005,131774.3,0,3140.1,0,0
