policyID,propertyID,point_latitude,point_longitude,line,construction,point_granularity
119736,1,30.102261,-81.711777,Residential,Masonry,1
448094,2,30.063936,-81.707664,Residential,Masonry,3
206893,3,30.089579,-81.700455,Residential,Wood,1
333743,4,30.063236,-81.707703,Residential,Wood,3
172534,5,30.060614,-81.702675,Residential,Wood,1
785275,6,30.063236,-81.707703,Residential,Masonry,3
995932,7,30.102226,-81.713882,Commercial,Reinforced Concrete,1
223488,8,30.102217,-81.707146,Residential,Wood,1
433512,9,30.118774,-81.704613,Residential,Wood,1
142071,10,30.100628,-81.703751,Residential,Masonry,1
253816,11,30.10216,-81.719444,Residential,Masonry,1
894922,12,30.095957,-81.695099,Residential,Wood,1
422834,13,30.100073,-81.739822,Residential,Wood,1
582721,14,30.09248,-81.725167,Residential,Wood,1
842700,15,30.101356,-81.726248,Residential,Wood,1
874333,16,30.113743,-81.727463,Residential,Wood,1
580146,17,30.121655,-81.732391,Residential,Wood,3
456149,18,30.109537,-81.741661,Residential,Wood,1
767862,19,30.11824,-81.745335,Residential,Wood,3
353022,20,30.065799,-81.717416,Residential,Wood,1
367814,21,30.082993,-81.710581,Residential,Wood,1
671392,22,30.091921,-81.711929,Commercial,Reinforced Concrete,3
772887,23,30.117352,-81.711884,Residential,Masonry,1
983122,24,30.095783,-81.713181,Residential,Wood,3
934215,25,30.110518,-81.727478,Residential,Wood,1
385951,26,30.10288,-81.705719,Residential,Wood,1
716332,27,30.068468,-81.71624,Residential,Wood,1
751262,28,30.068468,-81.71624,Residential,Wood,1
633663,29,30.068468,-81.71624,Residential,Wood,1
105851,30,30.068468,-81.71624,Residential,Wood,1
710400,31,30.068468,-81.71624,Residential,Wood,1
703001,32,30.079785,-81.706865,Residential,Wood,4
352792,33,30.08012,-81.718452,Residential,Masonry,1
717603,34,30.08012,-81.718452,Residential,Wood,1
937659,35,29.959805,-82.926659,Residential,Wood,3
294022,36,29.959805,-82.926659,Residential,Wood,3
410500,37,29.959805,-82.926659,Residential,Wood,3
524433,38,29.962601,-82.926155,Residential,Wood,3
779298,39,29.962601,-82.926155,Residential,Masonry,3
491831,40,29.962601,-82.926155,Residential,Wood,3
814637,41,29.962601,-82.926155,Residential,Wood,3
737515,42,29.962601,-82.926155,Residential,Wood,3
222653,43,29.962601,-82.926155,Residential,Wood,3
788543,44,29.962601,-82.926155,Residential,Wood,3
691681,45,29.960735,-82.92542,Residential,Wood,3
368807,46,29.960735,-82.92542,Residential,Wood,3
174002,47,29.963396,-82.916763,Residential,Wood,1
198760,48,29.963396,-82.916763,Residential,Wood,1
831395,49,29.963396,-82.916763,Residential,Wood,1
305698,50,29.963396,-82.916763,Residential,Wood,1
515722,51,29.963396,-82.916763,Residential,Wood,1
415582,52,29.958415,-82.92394,Residential,Wood,3
783533,53,29.9696,-82.92767,Residential,Wood,4
640802,54,29.959404,-82.927582,Residential,Wood,1
403866,55,29.958904,-82.922729,Residential,Wood,3
828788,56,29.95822,-82.922424,Residential,Wood,1
751490,57,29.965832,-82.933777,Residential,Wood,4
972562,58,29.965721,-82.933777,Residential,Wood,4
367541,59,29.965717,-82.933777,Residential,Wood,4
481360,60,29.95775,-82.923635,Residential,Wood,3
920232,61,30.39431,-81.93397,Residential,Wood,1
727659,62,30.56267,-81.830429,Residential,Wood,1
471817,63,30.56267,-81.830429,Residential,Wood,1
983043,64,30.561651,-81.830193,Residential,Wood,1
578286,65,30.56267,-81.830429,Residential,Wood,1
347276,66,30.56106,-81.82632,Residential,Wood,3
477786,67,30.5579,-81.8249,Commercial,Reinforced Masonry,4
265907,68,30.56106,-81.82632,Residential,Wood,3
107560,69,30.56106,-81.82632,Residential,Masonry,3
908183,70,30.57185,-81.82383,Residential,Wood,3
356024,71,30.562835,-81.826525,Residential,Wood,3
575299,72,30.567566,-81.826584,Residential,Wood,1
790478,73,30.60895,-81.83645,Residential,Wood,3
801776,74,30.59925,-81.81973,Residential,Wood,1
291781,75,30.53674,-81.77496,Residential,Masonry,3
537286,76,30.555161,-81.825684,Residential,Masonry,1
289305,77,30.105968,-82.66227,Residential,Wood,4
697409,78,30.1018,-82.7094,Residential,Wood,1
633944,79,30.1018,-82.7094,Residential,Wood,4
963511,80,30.1018,-82.7094,Residential,Wood,4
729649,81,30.1653,-82.73404,Residential,Masonry,1
862584,82,30.1018,-82.7094,Residential,Wood,4
371891,83,30.17399,-82.57017,Residential,Wood,4
785595,84,30.1515,-82.6126,Residential,Wood,3
567696,85,30.16269,-82.64,Residential,Wood,4
219025,86,30.16269,-82.64,Residential,Wood,4
447216,87,30.16269,-82.64,Residential,Wood,4
305141,88,30.16269,-82.64,Residential,Wood,4
625575,89,30.16269,-82.64,Residential,Wood,4
262109,90,30.163641,-82.640976,Residential,Wood,1
228457,91,30.163641,-82.640976,Residential,Masonry,1
622799,92,30.163641,-82.640976,Residential,Wood,1
233271,93,30.163641,-82.640976,Commercial,Reinforced Masonry,1
932950,94,30.163641,-82.640976,Residential,Wood,1
641952,95,30.1515,-82.6126,Commercial,Reinforced Masonry,4
796260,96,30.1515,-82.6126,Residential,Masonry,4
301822,97,30.1515,-82.6126,Commercial,Reinforced Masonry,4
559927,98,30.1515,-82.6126,Residential,Wood,4
224400,99,30.1515,-82.6126,Residential,Masonry,4
123936,100,30.1515,-82.6126,Commercial,Reinforced Masonry,4
333818,101,30.1515,-82.6126,Residential,Masonry,4
254323,102,30.1515,-82.6126,Residential,Masonry,4
247444,103,30.1515,-82.6126,Residential,Wood,4
882598,104,30.1515,-82.6126,Residential,Masonry,4
386918,105,30.1515,-82.6126,Residential,Wood,4
497337,106,30.1515,-82.6126,Residential,Wood,4
526844,107,30.1515,-82.6126,Commercial,Reinforced Masonry,4
623400,108,30.1515,-82.6126,Residential,Wood,4
826170,109,30.185885,-82.614795,Residential,Wood,1
185483,110,30.185885,-82.614795,Residential,Wood,1
920003,111,30.185885,-82.614795,Residential,Masonry,1
274246,112,30.16649,-82.63503,Residential,Wood,1
423636,113,30.176,-82.65581,Residential,Masonry,1
970906,114,30.00777,-82.59694,Commercial,Reinforced Masonry,3
227898,115,30.17509,-82.66252,Residential,Wood,1
525138,116,30.17501,-82.66205,Residential,Wood,1
923627,117,30.174776,-82.662277,Residential,Wood,1
